34,'თბილისი','ვაკე','მრგვალი ბაღი','09:00-18:00','15','41.7076073','44.77508776',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
35,'თბილისი','ვაკე','ბარნოვის 84','09:00-18:00','15','41.70718028','44.77664592',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
36,'თბილისი','ვაკე','ჭავჭავაძის 10','09:00-18:00','15','41.70942796','44.77746055',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
37,'თბილისი','საბურთალო','ვაჟა-ფშაველა','09:00-18:00','15','41.72752161','44.76702773',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
38,'თბილისი','საბურთალო','ვაჟა-ფშაველა 3','09:00-18:00','15','41.72753012','44.76644904',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
39,'თბილისი','საბურთალო','ვაჟა-ფშაველა 7','09:00-18:00','15','41.72746556','44.76559983',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
40,'თბილისი','საბურთალო','ვაჟა-ფშაველა 11-13','09:00-18:00','15','41.72735546','44.76439447',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
41,'თბილისი','საბურთალო','ვაჟა-ფშაველა 8','09:00-18:00','15','41.72734195','44.76479412',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
42,'თბილისი','საბურთალო','ვაჟა-ფშაველა 17','09:00-18:00','15','41.72723135','44.76301686',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
43,'თბილისი','საბურთალო','ვაჟა-ფშაველა 25','09:00-18:00','15','41.72696411','44.76032153',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
44,'თბილისი','საბურთალო','ვაჟა-ფშაველა 27','09:00-18:00','15','41.72687703','44.75940124',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
45,'თბილისი','საბურთალო','ვაჟა-ფშაველა 27 -29','09:00-18:00','15','41.72675292','44.75817891',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
