id,city,raion,address,lat,lon,workinghours,mintime,pAddress
52,თბილისი,ვაკე,ზ.ფალიაშვილი 52,41.70877218,44.76541207,09:00-18:00,15,
53,თბილისი,ვაკე,ჭავჭავაძის 29 31,41.71005769,44.76550327,09:00-18:00,15,
54,თბილისი,ვაკე,ჭავჭავაძის 42,41.70984144,44.76726087,09:00-18:00,15,
55,თბილისი,ვაკე,ჭავჭავაძის 34 (გუდვილი ვაკე),41.70921671,44.76979556,09:00-18:00,15,
56,თბილისი,ვაკე,ჭავჭავაძის 21,41.70954309,44.76920509,09:00-18:00,15,
57,თბილისი,ვაკე,ჭავჭავაძის 13(ბანკ რესპუბლიკასთან),41.7091281,44.77187783,09:00-18:00,15,
58,თბილისი,ვაკე,ი.აბაშიძის 9,41.70723935,44.77256984,09:00-18:00,15,
59,თბილისი,ვაკე,შალვა რადიანის 4,41.70684488,44.76989434,09:00-18:00,15,
60,თბილისი,ვაკე,ჭავჭავაძის 4-6,41.70927678,44.77844568,09:00-18:00,15,
61,თბილისი,ვაკე,ჭავჭავაძის 16,41.7092107,44.77535636,09:00-18:00,15,
62,თბილისი,ვაკე,ბარნოვის 42,41.70403241,44.78372485,09:00-18:00,15,
63,თბილისი,ვაკე,ზანდუკელი 32,41.70415957,44.78494928,09:00-18:00,15,
64,თბილისი,ვაკე,კეკელიძის 5-6,41.70782906,44.77843495,09:00-18:00,15,
65,თბილისი,ვაკე,ზანდუკელის ქ 13,41.70425369,44.78682817,09:00-18:00,15,
66,თბილისი,ვაკე,მრგვალი ბაღი,41.7076073,44.77508776,09:00-18:00,15,
67,თბილისი,ვაკე,ბარნოვის 84,41.70718028,44.77664592,09:00-18:00,15,
68,თბილისი,ვაკე,ჭავჭავაძის 10,41.70942796,44.77746055,09:00-18:00,15,
69,თბილისი,საბურთალო,ვაჟა-ფშაველა,41.72752161,44.76702773,09:00-18:00,15,
70,თბილისი,საბურთალო,ვაჟა-ფშაველა 3,41.72753012,44.76644904,09:00-18:00,15,
71,თბილისი,საბურთალო,ვაჟა-ფშაველა 7,41.72746556,44.76559983,09:00-18:00,15,
72,თბილისი,საბურთალო,ვაჟა-ფშაველა 11-13,41.72735546,44.76439447,09:00-18:00,15,
73,თბილისი,საბურთალო,ვაჟა-ფშაველა 8,41.72734195,44.76479412,09:00-18:00,15,
74,თბილისი,საბურთალო,ვაჟა-ფშაველა 17,41.72723135,44.76301686,09:00-18:00,15,
75,თბილისი,საბურთალო,ვაჟა-ფშაველა 25,41.72696411,44.76032153,09:00-18:00,15,
