'თბილისი','დიდუბე','წერეთლის 77','09:00-18:00','15','41.7373386','44.78191262',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
'თბილისი','გლდანი','გლდანის მეტრო','00:00-23:59','15','41.79263158','44.81736839',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
'თბილისი','ჩუღურეთი','აღმაშენებლის 62-64','09:00-18:00','15','41.70725037','44.79893109',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
'თბილისი','ვაკე','მ. თამარაშვილის 1','09:00-18:00','15','41.71381395','44.74722208',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
'თბილისი','ვაკე','თამარაშვილის 4ა','09:00-18:00','15','41.71302107','44.74977555',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
'თბილისი','ვაკე','ყიფშიძის ჩასახვევთან','09:00-18:00','15','41.71160247','44.75507484',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
'თბილისი','ვაკე','მოსეშვილსი 13 (ვისოლის ოფისთან)','09:00-18:00','15','41.71072646','44.75345344',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
'თბილისი','ვაკე','მიშველაძის ქ','09:00-18:00','15','41.70948302','44.75353391',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
'თბილისი','ვაკე','აბაშიძის 77 თან','09:00-18:00','15','41.70871712','44.75547046',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
'თბილისი','ვაკე','მოსაშვილსი 12 თან','09:00-18:00','15','41.71037606','44.75676538',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
'თბილისი','ვაკე','მოსეშვილ-ბერძენიშვილის კვეთ','09:00-18:00','15','41.71002766','44.75886614',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
'თბილისი','ვაკე',"'ფალიაშვილსი ქ , 165 საჯ.სკოლასთან'",'09:00-18:00','15','41.70931082','44.75984724',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
'თბილისი','ვაკე','აბაშიძის 60','09:00-18:00','15','41.70833567','44.75868585',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
'თბილისი','ვაკე','აბაშიძის 47','09:00-18:00','15','41.70829262','44.76060287',CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
